latitude,longitude,timestamp,total_waittime,trail_no,group,globalgroup_id
23.5643683333,87.28298,13:30:26,115436,13,1,1
23.572075,87.2783933333,09:09:58,357,30,2,2
23.5736566667,87.2764883333,17:40:51,592,33,4,3
23.5764966667,87.2748716667,16:36:25,170,22,7,4
23.5795966667,87.2734483333,14:11:50,1279,7,4,5
23.582315,87.2760016667,14:19:53,6418,44,5,6
23.5802683333,87.2795333333,12:51:51,551,40,8,7
23.57865,87.2827133333,12:03:01,181,31,5,8
23.582745,87.2833266667,20:06:51,193,9,8,9
23.5845666667,87.2834683333,20:07:55,153,9,9,10
23.58709,87.283505,11:38:33,129,2,9,11
23.5888266667,87.2819983333,14:29:47,1285,3,11,12
23.590565,87.2846116667,18:02:21,550,28,8,13
23.5888866667,87.2862583333,20:11:49,65,9,12,14
23.5863666667,87.287565,17:52:28,589,33,12,15
23.5800333333,87.2874683333,17:54:42,889,33,13,16
23.5793466667,87.2915566667,17:56:16,639,33,14,17
23.5749883333,87.2914833333,19:57:36,294,19,17,18
23.5741483333,87.29571,14:27:32,116,7,13,19
23.5741133333,87.2992366667,08:23:45,7951,15,13,20
23.5741866667,87.302555,16:59:04,41,18,18,21
23.5721433333,87.3025783333,13:29:38,10780,36,17,22
23.5677633333,87.3018716667,18:04:17,163,33,17,23
23.568125,87.2988616667,14:11:05,296,21,19,24
23.562525,87.2987883333,17:34:27,69,8,23,25
23.560015,87.2987966667,17:36:42,2985,45,12,26
23.5574183333,87.2987633333,18:08:35,988,33,19,27
23.5549566667,87.298755,14:15:50,247,21,22,28
23.5512916667,87.2965733333,14:46:53,405,44,16,29
23.5484833333,87.3013583333,14:20:23,311,17,17,30
23.5482216667,87.3037916667,13:46:45,547,36,22,31
23.548175,87.3076383333,12:01:24,143,43,20,32
23.5465383333,87.30979,14:32:48,5270,13,17,33
23.5445966667,87.3084566667,14:25:18,913,17,20,34
23.5423716667,87.306905,10:55:24,610,35,26,35
23.543395,87.3045416667,11:36:45,310,16,27,36
23.54464,87.3020666667,16:58:25,607,11,23,37
23.5433316667,87.30119,17:56:04,263,4,27,38
23.5417766667,87.3001233333,17:53:43,447,45,20,39
23.5402033333,87.2990683333,15:00:05,339,44,24,40
23.5388766667,87.2981916667,10:39:50,293,39,24,41
23.537525,87.2967266667,09:19:47,1128,1,31,42
23.5362133333,87.2958966667,12:13:46,205,46,31,43
23.53569,87.2974933333,17:23:59,16403,18,32,44
23.5333616667,87.3065366667,09:19:24,237,5,26,45
23.528135,87.31118,09:28:50,1635,42,28,46
23.5272233333,87.31118,18:45:08,2590,28,27,47
23.519335,87.3112733333,13:01:54,153,26,31,48
23.5036266667,87.3077133333,17:16:48,621,11,30,49
23.5002283333,87.30602,18:53:44,642,28,29,50
23.4964666667,87.3136,15:19:56,292,47,33,51
23.4946183333,87.3172166667,20:51:26,52982,19,37,52
