lat,long,time
23.5495066667,87.2995166667,14:43:15
23.5494583333,87.2996016667,14:43:16
23.54941,87.2996816667,14:43:17
23.5493633333,87.2997616667,14:43:18
23.5493183333,87.2998383333,14:43:19
23.549275,87.2999116667,14:43:20
23.5492316667,87.2999833333,14:43:21
23.54919,87.3000533333,14:43:22
23.5491516667,87.3001216667,14:43:23
23.549115,87.3001866667,14:43:24
23.54908,87.3002483333,14:43:25
23.549045,87.3003066667,14:43:26
23.5490133333,87.3003633333,14:43:27
23.5489816667,87.30042,14:43:28
23.54895,87.3004766667,14:43:29
23.5489166667,87.300535,14:43:30
23.5488816667,87.3005916667,14:43:31
23.5488483333,87.3006483333,14:43:32
23.5488166667,87.3007,14:43:33
23.5487866667,87.3007466667,14:43:34
23.5487616667,87.3007883333,14:43:35
23.54874,87.3008266667,14:43:36
23.548725,87.300855,14:43:37
23.5487166667,87.3008716667,14:43:38
23.5487133333,87.3008766667,14:43:39
23.5487133333,87.3008766667,14:43:40
23.5487133333,87.3008766667,14:43:41
23.5487133333,87.3008766667,14:43:42
23.5487133333,87.3008766667,14:43:43
23.5487133333,87.3008783333,14:43:44
23.5487083333,87.3008866667,14:43:45
23.5487016667,87.3009033333,14:43:46
23.5486933333,87.3009266667,14:43:47
23.5486833333,87.3009583333,14:43:48
23.548675,87.3009966667,14:43:49
23.5486666667,87.3010366667,14:43:50
23.5486583333,87.3010766667,14:43:51
23.54865,87.3011183333,14:43:52
23.5486383333,87.3011583333,14:43:53
23.5486233333,87.3012016667,14:43:54
23.5486,87.3012433333,14:43:55
23.5485716667,87.3012816667,14:43:56
23.54854,87.3013166667,14:43:57
23.5485,87.3013483333,14:43:58
23.5484583333,87.3013816667,14:43:59
23.548415,87.30142,14:44:00
23.5483716667,87.3014633333,14:44:01
23.5483333333,87.3015116667,14:44:02
23.5482983333,87.301565,14:44:03
23.5482666667,87.3016183333,14:44:04
23.54824,87.3016766667,14:44:05
23.5482183333,87.3017416667,14:44:06
23.548205,87.30181,14:44:07
23.5481983333,87.3018833333,14:44:08
23.548195,87.3019583333,14:44:09
23.5481966667,87.302035,14:44:10
23.5481983333,87.302115,14:44:11
23.5482,87.3021933333,14:44:12
23.5482,87.302275,14:44:13
23.5482016667,87.30236,14:44:14
23.5482016667,87.3024466667,14:44:15
23.5482033333,87.3025316667,14:44:16
23.5482033333,87.302615,14:44:17
23.548205,87.3026983333,14:44:18
23.5482066667,87.3027833333,14:44:19
23.5482083333,87.3028683333,14:44:20
23.5482083333,87.3029533333,14:44:21
23.5482033333,87.3030366667,14:44:22
23.5482,87.3031216667,14:44:23
23.5482,87.303205,14:44:24
23.5482,87.3032883333,14:44:25
23.5482016667,87.3033633333,14:44:26
23.5482033333,87.30343,14:44:27
23.548205,87.3034883333,14:44:28
23.5482066667,87.3035383333,14:44:29
23.5482066667,87.3035816667,14:44:30
23.5482066667,87.3036216667,14:44:31
23.5482066667,87.30366,14:44:32
23.5482066667,87.3037,14:44:33
23.548205,87.3037383333,14:44:34
23.5482033333,87.3037783333,14:44:35
23.5481983333,87.3038183333,14:44:36
23.548195,87.303865,14:44:37
23.548195,87.3039166667,14:44:38
23.5481966667,87.3039733333,14:44:39
23.5481966667,87.3040333333,14:44:40
23.5481983333,87.3040966667,14:44:41
23.5481983333,87.304165,14:44:42
23.5481983333,87.3042383333,14:44:43
23.5481966667,87.3043116667,14:44:44
23.548195,87.3043883333,14:44:45
23.5481933333,87.3044666667,14:44:46
23.5481933333,87.304545,14:44:47
23.5481916667,87.3046233333,14:44:48
23.5481916667,87.3047,14:44:49
23.5481916667,87.3047766667,14:44:50
23.5481933333,87.3048566667,14:44:51
23.5481933333,87.3049383333,14:44:52
23.54819,87.3050233333,14:44:53
23.5481866667,87.3051066667,14:44:54
23.548185,87.3051933333,14:44:55
23.5481833333,87.30528,14:44:56
23.5481816667,87.30537,14:44:57
23.5481783333,87.3054583333,14:44:58
23.54818,87.3055466667,14:44:59
23.54818,87.3056333333,14:45:00
23.54818,87.30572,14:45:01
23.5481816667,87.305805,14:45:02
23.5481833333,87.3058883333,14:45:03
23.54818,87.3059683333,14:45:04
23.5481783333,87.3060416667,14:45:05
23.5481783333,87.3061116667,14:45:06
23.5481766667,87.306185,14:45:07
23.5481766667,87.3062583333,14:45:08
23.548175,87.30633,14:45:09
23.5481733333,87.3063966667,14:45:10
23.5481733333,87.30646,14:45:11
23.5481766667,87.30652,14:45:12
23.5481783333,87.3065816667,14:45:13
23.54818,87.3066416667,14:45:14
23.54818,87.3067016667,14:45:15
23.5481783333,87.3067616667,14:45:16
23.548175,87.3068216667,14:45:17
23.5481716667,87.30688,14:45:18
23.54817,87.3069416667,14:45:19
23.5481733333,87.307005,14:45:20
23.5481766667,87.3070683333,14:45:21
23.54818,87.3071316667,14:45:22
23.5481816667,87.3071966667,14:45:23
23.5481816667,87.3072616667,14:45:24
23.5481833333,87.307325,14:45:25
23.5481833333,87.3073833333,14:45:26
23.5481833333,87.3074383333,14:45:27
23.5481783333,87.30749,14:45:28
23.5481766667,87.3075416667,14:45:29
23.548175,87.3075916667,14:45:30
23.54817,87.3076416667,14:45:31
23.548155,87.3076933333,14:45:32
23.5481316667,87.3077416667,14:45:33
23.5481066667,87.3077866667,14:45:34
23.54808,87.3078216667,14:45:35
23.5480566667,87.30785,14:45:36
23.5480383333,87.3078716667,14:45:37
23.5480216667,87.307895,14:45:38
23.5480033333,87.3079216667,14:45:39
23.5479833333,87.3079533333,14:45:40
23.54796,87.3079883333,14:45:41
23.547935,87.3080283333,14:45:42
23.547905,87.308075,14:45:43
23.5478766667,87.30812,14:45:44
23.5478483333,87.3081633333,14:45:45
23.547825,87.3082083333,14:45:46
23.5478066667,87.308255,14:45:47
23.547785,87.3083033333,14:45:48
23.5477583333,87.308355,14:45:49
23.54773,87.3084083333,14:45:50
23.5477,87.3084633333,14:45:51
23.54767,87.308515,14:45:52
23.5476383333,87.3085683333,14:45:53
23.5476016667,87.3086183333,14:45:54
23.547565,87.30867,14:45:55
23.547525,87.308725,14:45:56
23.547485,87.308785,14:45:57
23.5474433333,87.30885,14:45:58
23.5474,87.30892,14:45:59
23.5473533333,87.308995,14:46:00
23.547305,87.30907,14:46:01
23.5472566667,87.309145,14:46:02
23.5472133333,87.30922,14:46:03
23.5471716667,87.3092933333,14:46:04
23.5471316667,87.3093633333,14:46:05
23.5470916667,87.3094333333,14:46:06
23.5470533333,87.3095033333,14:46:07
23.5470183333,87.30957,14:46:08
23.546985,87.3096266667,14:46:09
23.54695,87.3096816667,14:46:10
23.546915,87.309735,14:46:11
23.5468816667,87.309785,14:46:12
23.54685,87.3098283333,14:46:13
23.5468216667,87.3098633333,14:46:14
23.5468,87.3098866667,14:46:15
23.546785,87.3099,14:46:16
23.54677,87.3099083333,14:46:17
23.546755,87.3099133333,14:46:18
23.5467383333,87.309915,14:46:19
23.5467166667,87.3099166667,14:46:20
23.5466866667,87.3099116667,14:46:21
23.5466516667,87.3098983333,14:46:22
23.5466133333,87.30988,14:46:23
23.5465716667,87.3098566667,14:46:24
23.5465316667,87.3098316667,14:46:25
23.5464983333,87.30981,14:46:26
23.5464766667,87.309795,14:46:27
23.5464683333,87.309785,14:46:28
23.5464683333,87.3097783333,14:46:29
23.54647,87.3097733333,14:46:30
23.5464716667,87.3097716667,14:46:31
23.5464716667,87.30977,14:46:32
23.5464666667,87.3097666667,14:46:33
23.54645,87.3097566667,14:46:34
23.5464266667,87.30974,14:46:35
23.5463966667,87.3097216667,14:46:36
23.5463616667,87.3096983333,14:46:37
23.5463216667,87.3096716667,14:46:38
23.54628,87.3096416667,14:46:39
23.5462383333,87.30961,14:46:40
23.5461933333,87.3095766667,14:46:41
23.546145,87.30954,14:46:42
23.546095,87.3095016667,14:46:43
23.54604,87.3094633333,14:46:44
23.5459816667,87.309425,14:46:45
23.5459166667,87.3093866667,14:46:46
23.5458516667,87.309345,14:46:47
23.5457833333,87.3093,14:46:48
23.54571,87.3092516667,14:46:49
23.545635,87.3092016667,14:46:50
23.54556,87.30915,14:46:51
23.5454866667,87.3090966667,14:46:52
23.5454116667,87.3090433333,14:46:53
23.545335,87.3089866667,14:46:54
23.54526,87.30893,14:46:55
23.545185,87.308875,14:46:56
23.5451133333,87.3088233333,14:46:57
23.5450416667,87.3087733333,14:46:58
23.5449733333,87.3087233333,14:46:59
23.5449066667,87.308675,14:47:00
23.5448433333,87.308625,14:47:01
23.5447833333,87.30858,14:47:02
23.544725,87.30854,14:47:03
23.5446683333,87.308505,14:47:04
23.544615,87.3084716667,14:47:05
23.5445666667,87.30844,14:47:06
23.5445283333,87.30841,14:47:07
23.544495,87.308385,14:47:08
23.5444683333,87.308365,14:47:09
23.5444483333,87.30835,14:47:10
23.544435,87.3083416667,14:47:11
23.54443,87.30834,14:47:12
23.5444283333,87.3083383333,14:47:13
23.5444266667,87.30834,14:47:14
23.544425,87.30834,14:47:15
23.544425,87.30834,14:47:16
23.544425,87.30834,14:47:17
23.544425,87.30834,14:47:18
23.544425,87.30834,14:47:19
23.544425,87.30834,14:47:20
23.544425,87.30834,14:47:21
23.544425,87.30834,14:47:22
23.544425,87.30834,14:47:23
23.544425,87.30834,14:47:24
23.544425,87.30834,14:47:25
23.544425,87.30834,14:47:26
23.544425,87.30834,14:47:27
23.544425,87.30834,14:47:28
23.544425,87.30834,14:47:29
23.544425,87.30834,14:47:30
23.544425,87.30834,14:47:31
23.544425,87.30834,14:47:32
23.544425,87.30834,14:47:33
23.544425,87.30834,14:47:34
23.544425,87.30834,14:47:35
23.544425,87.30834,14:47:36
23.544425,87.30834,14:47:37
23.544425,87.30834,14:47:38
23.544425,87.30834,14:47:39
23.544425,87.30834,14:47:40
23.544425,87.30834,14:47:41
23.544425,87.30834,14:47:42
23.544425,87.30834,14:47:43
23.544425,87.30834,14:47:44
23.544425,87.30834,14:47:45
23.544425,87.30834,14:47:46
23.544425,87.30834,14:47:47
23.544425,87.30834,14:47:48
23.544425,87.30834,14:47:49
23.544425,87.30834,14:47:50
23.544425,87.30834,14:47:51
23.544425,87.30834,14:47:52
23.544425,87.30834,14:47:53
23.544425,87.30834,14:47:54
23.544425,87.30834,14:47:55
23.544425,87.30834,14:47:56
23.544425,87.30834,14:47:57
23.544425,87.30834,14:47:58
23.544425,87.30834,14:47:59
23.544425,87.30834,14:48:00
23.544425,87.30834,14:48:01
23.544425,87.30834,14:48:02
23.544425,87.30834,14:48:03
